ca,cati,cati_url,endereco,municipio,email,telefone,responsavel,tecnicos,tem_dados
CA de Mogi Guaçu,CATI Regional de Mogi Mirim,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Mogi%20Mirim,"Endereço: Av. Mogi Mirim, 93 - CEP: 13840-110",Município: Mogi Guaçu,E-mail: antoniomoliveira@sp.gov.br,Telefone: (19) 3861-1308,Responsável: Eng. Agr. ANTONIO MARCOS ALVES DE OLIVEIRA,"Técnicos: Eng. Agr. Antonio Marcos Alves de Oliveira, Antonio Sergio M. Fernandes (Agente de Apoio Agropecuario), José Roberto de Campos (Tecnico de Apoio Agropecuario)",True
CA de Mogi Mirim,CATI Regional de Mogi Mirim,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Mogi%20Mirim,"Endereço: Av Padre João Vieira Ramalho, 397 - CEP: 13801-084",Município: Mogi Mirim,E-mail: jose.bonatti@sp.gov.br,Telefone: (19) 3806-4010,Responsável: Eng. Agr. JOSE LUIZ BONATTI,Técnicos: Eng. Agr. Isabel Cristina Taberti (Convênio Prefeitura Municipal),True
CA de Mombuca,CATI Regional de Piracicaba,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Piracicaba,Endereço: R Benedito Rodrigues de Abreu 71 Parque Ecologico - CEP: 13380-000,Município: Mombuca,E-mail: ca.mombuca@cati.sp.gov.br,Telefone: (19) 34888-1167,Responsável: Eng. Agr. Mauricio Perissinotto (Diretor Técnico de Divisão),Técnicos: Eng. Agr. Angelo Cesar Bosqueiro; Eng. Agr. Guilherme Mikhail Helal Dorelli (Convênio Prefeitura Municipal).,True
CA de Monções,CATI Regional de General Salgado,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20General%20Salgado,"Endereço: Rua Paraná, 735, Centro - CEP: 15275-000",Município: Monções,E-mail: ca.moncoes@cati.sp.gov.br,Telefone: (17) 3484-1154,Responsável: Eng. Agr. Marcelo Takashi Onoe,Técnicos:,True
CA de Mongaguá,CATI Regional de Santos,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Santos,"Endereço: Rua Marina, s/nº - CEP: 11730-000",Município: Mongaguá,E-mail: ca.mongagua@cati.sp.gov.br,Telefone: (13) 3448-4630,Responsável: Eng. Agr. Ubiraci Loureiro Sarzedas (Convênio Prefeitura Municipal),Técnicos: Eduardo Mennucci (Convênio Prefeitura Municipal),True
CA de Monte Alegre do Sul,CATI Regional de Bragança Paulista,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Bragan%C3%A7a%20Paulista,"Endereço: Rua Coronel Luis Leite, 266 - Centro - CEP: 13910-000",Município: Monte Alegre do Sul,E-mail: ca.montealegredosul@cati.sp.gov.br,Telefone: (19) 3899-1316,"Responsável: Chefe da CA
Eng Agr.Luis Fernando de Aguiar",Técnicos:,True
CA de Monte Alto,CATI Regional de Jaboticabal,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Jaboticabal,"Endereço: Praça Humberto Caraccio, nº 267 - CEP: 15.910-000",Município: Monte Alto,E-mail: ca.montealto@cati.sp.gov.br,Telefone: (16) 3242-1282,Responsável: Eng. Agr. Ademar José de Sousa Júnior,Técnicos:,True
CA de Monte Aprazível,CATI Regional de São José do Rio Preto,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20S%C3%A3o%20Jos%C3%A9%20do%20Rio%20Preto,"Endereço: Rua Tiradentes, nº 1111 - CEP: 15150-000",Município: Monte Aprazível,E-mail: ca.monteaprazivel@cati.sp.gov.br,Telefone: (17) 3275-2755,Responsável: Eng. Agr. Ricardo Domingos Luiz Pereira,Técnicos:,True
CA de Monte Azul Paulista,CATI Regional de Barretos,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Barretos,"Endereço: Travessa Gabriel Said Aidain, 84 - CEP: 14730-000",Município: Monte Azul Paulista,E-mail: ca.monteazulpaulista@cati.sp.gov.br,Telefone: (17) 3361-1057,Responsável: Eng. Agr. Rolando Salomão Carvalho Custódio do Nascimento,Técnicos:,True
CA de Monte Castelo,CATI Regional de Dracena,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Dracena,"Endereço: Rua Professor Stélio Machado Loureiro, 206 - CEP: 17960-000",Município: Monte Castelo,E-mail: ca.montecastelo@cati.sp.gov.br,Telefone: (18) 3855-1454,Responsável: Eng. Ambiental Aykel Simonato Curi,Técnicos: Méd. Vet. Patrícia Santos Carbone (Convênio Prefeitura Municipal) Eng. Ambiental Aykel Simonato Curi (Convênio Prefeitura Municipal),True
CA de Monte Mor,CATI Regional de Campinas,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Campinas,"Endereço: Rua 24 de Março, nº 85 - CEP: 13190-000",Município: Monte Mor,E-mail: ca.montemor@cati.sp.gov.br,Telefone: (19) 3879-1801,Responsável: Eng. Agr. Rodrigo Baccan,Técnicos:,True
Monteiro Lobato,,,,,,,,,False
CA de Morro Agudo,CATI Regional de Orlândia,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Orl%C3%A2ndia,Endereço: Rua 07 de setembro 1356 - CEP: 14640-000,Município: Morro Agudo,E-mail: renan.vrodrigues@sp.gov.br,Telefone: (16) 3851-1180,Responsável: Renam Vinicius Rodrigues,Técnicos:,True
CA de Morungaba,CATI Regional de Campinas,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Campinas,"Endereço: Rua Fortunato Stella, nº 120 - CEP: 13260-000",Município: Morungaba,E-mail: ca.morungaba@cati.sp.gov.br,Telefone: (11) 4014-7265,Responsável: Eng. Agr. Rodrigo Baccan,Técnicos:,True
Motuca,,,,,,,,,False
CA de Murutinga do Sul,CATI Regional de Andradina,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Andradina,"Endereço: Rua Marechal Deodoro, 669 - CEP: 16950-000",Município: Murutinga do Sul,E-mail: ca.murutingadosul@cati.sp.gov.br,Telefone: (18) 3788-1131,Responsável: Engenheiro Agrônomo Atílio Batista Pacce,Técnicos: Engenheiro Agrônomo Atílio Batista Pacce (SAA) Engenheiro Agrônomo Gerson Roberto Doreto (Convênio SAA/PM),True
CA de Nantes,CATI Regional de Presidente Prudente,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Presidente%20Prudente,"Endereço: Rua Siqueira, 150 - CEP: 19645-000",Município: Nantes,E-mail:,Telefone: (18) 3268-8801,Responsável: Eng. Agr. Marco Aurélio Fernandes,"Técnicos: Eng. Agr. Edgar Inácio Luduvico (Convênio Prefeitura Municipal),Méd. Vet. Carlos Eduardo Saranz Zago (Convênio Prefeitura Municipal).",True
CA de Narandiba,CATI Regional de Presidente Prudente,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Presidente%20Prudente,"Endereço: Rua Vereador Antonio Camilo Nogueira, 348 - CEP: 19220-000",Município: Narandiba,E-mail: ca.narandiba@cati.sp.gov.br,Telefone: (18) 3992-1134,Responsável: Eng. Agr. Marco Aurélio Fernandes,Técnicos:,True
CA de Natividade da Serra,CATI Regional de Pindamonhangaba,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Pindamonhangaba,"Endereço: Avenida Benedito Matarazzo Sobrinho, 124 - CEP: 12.180-000",Município: Natividade da Serra,E-mail: ca.natividadedaserra@cati.sp.gov.br,Telefone: (12) 3677-1008,Responsável: Eng. Agr. Pedro Otávio de Mello Felipe,Técnicos:,True
CA de Nazaré Paulista,CATI Regional de Bragança Paulista,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Bragan%C3%A7a%20Paulista,"Endereço: Av. Joaquim Avelino Pinheiro,1011 - B. Vicente Nunes - CEP: 12960-000",Município: Nazaré Paulista,E-mail: ca.nazare@cati.sp.gov.br,Telefone: (11) 4597-1206,Responsável: Eng. Agr. Rodrigo Baccan,Técnicos:,True
CA de Neves Paulista,CATI Regional de São José do Rio Preto,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20S%C3%A3o%20Jos%C3%A9%20do%20Rio%20Preto,"Endereço: Rua Independência, nº 369 - CEP: 15120-000",Município: Neves Paulista,E-mail: ca.nevespaulista@cati.sp.gov.br,Telefone: (17) 3271-1252,Responsável: Eng. Agr. Ricardo Domingos Luiz Pereira,Técnicos:,True
CA de Nhandeara,CATI Regional de General Salgado,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20General%20Salgado,"Endereço: Rua Cônego Domingos Planillo, 542, Centro - CEP: 15190-000",Município: Nhandeara,E-mail: ca.nhandeara@cati.sp.gov.br,Telefone: (17) 3472-1211,Responsável: Méd. Vet. Ildemar Carvalho Sanchez,Técnicos: Eng. Agr. João Luiz Guioti (Convênio SAA/PM) Méd. Vet. Ildemar Carvalho Sanchez (Convênio SAA/PM),True
CA de Nipoã,CATI Regional de São José do Rio Preto,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20S%C3%A3o%20Jos%C3%A9%20do%20Rio%20Preto,"Endereço: Rua Emídio Antonio Nogueira, nº 150 - CEP: 15240-000",Município: Nipoã,E-mail: ca.nipoa@cati.sp.gov.br,Telefone: (17) 3277-1200,Responsável: Eng. Agr. Ricardo Domingos Luiz Pereira,"Técnicos: Eng. Agr. Ciro Beloti (Convênio Prefeitura Municipal),Méd. Vet. Wilian Fabio Larrubia (Convênio Prefeitura Municipal).",True
CA de Nova Aliança,CATI Regional de São José do Rio Preto,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20S%C3%A3o%20Jos%C3%A9%20do%20Rio%20Preto,"Endereço: Rua Rui Barbosa, nº 347 - CEP: 15210-000",Município: Nova Aliança,E-mail: ca.novaalianca@cati.sp.gov.br,Telefone: (17) 3811-1211,Responsável: Eng. Agr. Ricardo Domingos Luiz Pereira,"Técnicos: Eng. Agr. Fabiano Dosualdo Barreto (Convênio Prefeitura Municipal),Méd. Vet. Rodrigo Bereta do Nascimento (Convênio Prefeitura Municipal).",True
CA de Nova Campina,CATI Regional de Itapeva,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Itapeva,"Endereço: Rua João Nunes de Oliveira, 161 - CEP: 18435-000",Município: Nova Campina,E-mail: ca.novacampina@cati.sp.gov.br,Telefone: (15) 3535-1241,Responsável: Eng. Agr. Emmanuel Afonso Souza Moraes,Técnicos: Méd. Vet. Salvador Bueno de Melo Neto (Convênio Prefeitura Paulista).,True
CA de Nova Canaã Paulista,CATI Regional de Jales,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Jales,"Endereço: Rua Oito, 705 - CEP: 15773-000",Município: Nova Canaã Paulista,E-mail: ca.novacanaa@cati.sp.gov.br,Telefone: (17) 3681-1160,Responsável: Méd. Vet. Márcio Henrique Castilho,Técnicos: Méd. Vet. Márcio Henrique Castilho (CATI); Eng. Agr. Alexandre de Oliveira Marques (Convênio SAA/PM); Alessandro Gaarcia Pierri (Convênio/PM); Edilson José Bueno (PM); Danitieli Cristina Ribeiro (PM); Ana Paula da Silva (PM),True
CA de Nova Castilho,CATI Regional de General Salgado,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20General%20Salgado,"Endereço: Rua Miguel Feitosa Sobreira Filho, 189, Centro - CEP: 15313-000",Município: Nova Castilho,E-mail: ca.novacastilho@cati.sp.gov.br,Telefone: (17) 3831-6173,Responsável: Méd. Vet. Valmor Humberto Cabrera,Técnicos: Méd. Vet. Valmor Humberto Cabrera (Convênio SAA/PM) Eng. Agr. Orlando Alves de Oliveira Junior (Convênio SAA/PM); Téc. Agr. Alessandro Ademar Francisco (Convênio SAA/PM).,True
CA de Nova Europa,CATI Regional de Araraquara,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Araraquara,"Endereço: Rua Campos Sales, s/n - CEP: 14920-000",Município: Nova Europa,E-mail: edr.araraquara@cati.sp.gov.br,Telefone: (16) 3387-1156 / 33220511,Responsável: Eng. Agr. Érica Ybarra Tannuri de Godoy,Técnicos:,True
CA de Nova Granada,CATI Regional de São José do Rio Preto,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20S%C3%A3o%20Jos%C3%A9%20do%20Rio%20Preto,"Endereço: Rua XV de Novembro, nº 475 - CEP: 15440-000",Município: Nova Granada,E-mail: ca.novagranada@cati.sp.gov.br,Telefone: (17) 3262-1001,Responsável: Eng. Agr. Ricardo Domingos Luiz Pereira,Técnicos:,True
CA de Nova Guataporanga,CATI Regional de Dracena,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Dracena,"Endereço: Rua José Bonifácio, 540 - CEP: 17950-000",Município: Nova Guataporanga,E-mail: ca.novaguataporanga@cati.sp.gov.br,Telefone: (18) 3856-1101,Responsável: Eng. Agr. João Garcia Rubira,Técnicos: Eng. Agr. João Garcia Rubira (Convênio Prefeitura Municipal),True
CA de Nova Independência,CATI Regional de Andradina,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Andradina,"Endereço: Av. Eurico Soares Andrade, 891 - CEP: 16940-000",Município: Nova Independência,E-mail: ca.novaindependencia@cati.sp.gov.br,Telefone: (18) 3744-1181,Responsável: Engenheiro Agrônomo Alex Moreira,Técnicos: Engenheiro Agrônomo Alex Moreira (SAA) Engenheiro Agrônomo Arnaldo Hideki Terashima (PM) Engenheiro Agrônomo Raphael Eiti Homma (PM),True
CA de Nova Luzitânia,CATI Regional de General Salgado,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20General%20Salgado,"Endereço: Rua Vereador Antonio Domingos de Moraes Filho, 1923, Centro - CEP: 15340-00",Município: Nova Luzitânia,E-mail: ca.novaluzitania@cati.sp.gov.br,Telefone: (17) 3483-1210,Responsável: Méd. Vet. Nilson Geraldo da Silva,Técnicos: Eng. Agr. João Roberto Lopes do Prado (Convênio SAA/PM) Méd. Vet. Nilson Geraldo da Silva (Convênio SAA/PM),True
CA de Nova Odessa,CATI Regional de Piracicaba,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Piracicaba,"Endereço: Rua Heitor Penteado, s/n - CEP: 13460-000",Município: Nova Odessa,E-mail: tiago.cavalheiro@sp.gov.br,Telefone: (19) 3476-9814,Responsável: Eng. Agr. Mauricio Perissinotto (Diretor Técnico de Divisão),Técnicos: Eng. Agr. Tiago Jose Cavalheiro,True
CA de Novais,CATI Regional de Catanduva,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Catanduva,"Endereço: Rua Antônio Blasque Romero, nº 350 - CEP: 15885-000",Município: Novais,E-mail:,Telefone: (17) 3561-1158,Responsável: Eng. Agr. Claudio Giusti de Souza,Técnicos: Engº Agrº. Ronaldo D. Cabrera (Convênio Prefeitura Municipal),True
CA de Novo Horizonte,CATI Regional de Catanduva,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Catanduva,"Endereço: Av. Cel. Junqueira, nº 858 - CEP: 14960-000",Município: Novo Horizonte,E-mail: ca.novohorizonte@cati.sp.gov.br,Telefone: (17) 3542-3222,Responsável: Eng. Agr. Claudio Giusti de Souza,Técnicos: Méd. Vet. Carlos Pagani Netto Engº Agrº. Antônio Carlos Torres,True
CA de Nuporanga,CATI Regional de Orlândia,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Orl%C3%A2ndia,"Endereço: Rua Bernardino Pereira da Silva, 323 - CEP: 14670-000",Município: Nuporanga,E-mail:,Telefone:,Responsável:,Técnicos:,True
CA de Ocauçu,CATI Regional de Marília,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Mar%C3%ADlia,"Endereço: Rua Jacy Tavares Boechat,205 - CEP: 17540-000",Município: Ocauçu,E-mail: ca.ocaucu@cati.sp.gov.br,Telefone: (14) 3475-1232,Responsável: Engº Agrº Arnaldo Augusto Saraiva Júnior,Técnicos: Eng. Agr. Arnaldo Augusto Saraiva Junior (Convênio Prefeitura Municipal).,True
CA de Óleo,CATI Regional de Ourinhos,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Ourinhos,"Endereço: Rua João Faustão Giraldis, 1103 - CEP: 18790-000",Município: Óleo,E-mail: ca.oleo@cati.sp.gov.br,Telefone: (14) 3357-1162,Responsável: Eng. Agr. Sérgio Luis Villas Boas Tambara,"Técnicos: Eng. Agr. Allan Cellim da Silva (Convênio Prefeitura Municipal),Méd. Vet. Ana Helena Ferrazzini Marvulo (Convênio Prefeitura Municipal),Méd. Vet. Juliano Amadeu Palma.",True
CA de Olímpia,CATI Regional de Barretos,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Barretos,"Endereço: Rua Dr. Antônio Olímpio, 923 - CEP: 15400-000",Município: Olímpia,E-mail: ca.olimpia@cati.sp.gov.br,Telefone: (17) 3281-1204,Responsável: Eng. Agr. Rolando Salomão Carvalho Custódio do Nascimento,Técnicos:,True
CA de Onda Verde,CATI Regional de São José do Rio Preto,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20S%C3%A3o%20Jos%C3%A9%20do%20Rio%20Preto,"Endereço: Av. Romano Calil, s/n - CEP: 15450-000",Município: Onda Verde,E-mail: ca.ondaverde@cati.sp.gov.br,Telefone: (17) 3268-1255,Responsável: Eng. Agr. Ricardo Domingos Luiz Pereira,Técnicos:,True
CA de Oriente,CATI Regional de Marília,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Mar%C3%ADlia,"Endereço: Rua Vinícius de Moraes, 148 - CEP: 17570-000",Município: Oriente,E-mail: ca.oriente@cati.sp.gov.br,Telefone: (14) 3456-1299,Responsável: Engº Agrº Leonardo Sanches Mascarin,Técnicos: Adenilson Márcio dos Santos - Técnico Agrícola,True
CA de Orindiúva,CATI Regional de Votuporanga,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Votuporanga,"Endereço: Rua Francisco Porcel Munhoz, 365 - CEP: 15480-000",Município: Orindiúva,E-mail: mario.frederico@sp.gov.br,Telefone: (17) 3816-1162,Responsável: Eng. Agr. Amauri Antonio de Mendonça,Técnicos: Méd. Veterinário - Mario Augusto Frederico,True
CA de Orlândia,CATI Regional de Orlândia,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Orl%C3%A2ndia,"Endereço: Rua Oito, 946 - CEP: 14620-000",Município: Orlândia,E-mail: luis.lopes@sp.gov.br,Telefone:,Responsável: Luis Gustavo Lopes,Técnicos: Eng. Agr. Luis Gustavo Lopes.,True
Osasco,,,,,,,,,False
CA de Oscar Bressane,CATI Regional de Marília,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Mar%C3%ADlia,"Endereço: Rua Vitório Girotto,479 - CEP: 19770-000",Município: Oscar Bressane,E-mail: ca.oscarbressane@cati.sp.gov.br,Telefone: (14) 3457-1139,Responsável: Engº Agrº Tiago Xavier Giroto,Técnicos: Eng. Agr. Tiago Xavier Giroto (Convênio Prefeitura Municipal). Eng. Agr. Walter Villoria Ferreira (Convênio Prefeitura Municipal).,True
CA de Osvaldo Cruz,CATI Regional de Tupã,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Tup%C3%A3,"Endereço: Rua Engenheiro Kieffer, nº 410 - CEP: 17700-000",Município: Osvaldo Cruz,E-mail: ca.osvaldocruz@cati.sp.gov.br,Telefone: (18)3528-3980,Responsável: Engº Agrº Carlos Alberto Confort Lang,Técnicos:,True
CA de Ourinhos,CATI Regional de Ourinhos,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Ourinhos,"Endereço: Rua Duque de Caxias, 737 - CEP: 19911-621",Município: Ourinhos,E-mail: ca.ourinhos@cati.sp.gov.br,Telefone: (14) 3326-4477,Responsável: Eng. Agr. Sérgio Luis Villas Boas Tambara,Técnicos:,True
CA de Ouro Verde,CATI Regional de Dracena,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Dracena,"Endereço: Rua Mato Grosso, 895 - CEP: 17920-000",Município: Ouro Verde,E-mail: ca.ouroverde@cati.sp.gov.br,Telefone: (18) 3872-1157,Responsável: Eng. Agr. Rafael Ervolino da Silva,Técnicos: Eng. Agr. Rafael Ervolino da Silva (Convênio Prefeitura Municipal),True
CA de Ouroeste,CATI Regional de Fernandópolis,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Fernand%C3%B3polis,"Endereço: Rua Augusto Bastos, nº.1.970 - CEP: 15.685-000",Município: Ouroeste,E-mail: agricultura@ouroeste.sp.gov.br,Telefone: (17) 3843-4400,Responsável: Eng.º Agr.º Fernando Roberto Junqueira de Pádua,"Técnicos: Eng. Agr. Fernando Roberto Junqueira de Pádua (Convênio Prefeitura Municipal),Méd. Vet. Jocimar Antônio César Beluco,Méd. Vet. Louziane Angela Costa Amancio (Convênio Prefeitura Municipal), Eng.ª. Agr.ª Fabiana Fátima dos Santos Pavan.",True
CA de Pacaembu,CATI Regional de Dracena,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Dracena,"Endereço: Rua Paulo Antonio Ribeiro , 222 - CEP: 17860-000",Município: Pacaembu,E-mail: ca.pacaembu@cati.sp.gov.br,Telefone: (18) 3862-1552,Responsável: Eng. Agr. Carlos Henrique Brioschi,Técnicos: Eng. Agr. Carlos Henrique Brioschi; Téc. Agropecuário Cícero Borges dos Santos (Convênio Prefeitura Municipal),True
CA de Palestina,CATI Regional de São José do Rio Preto,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20S%C3%A3o%20Jos%C3%A9%20do%20Rio%20Preto,"Endereço: Av. Saudade, nº 1846 - CEP: 15470-000",Município: Palestina,E-mail: ca.palestina@cati.sp.gov.br,Telefone: (17) 3293-1344,Responsável: Eng. Agr. Ricardo Domingos Luiz Pereira,"Técnicos: Eng. Agr. Angelo Francisco Botaro (Convênio Prefeitura Municpal),Méd. Vet. Nilton Cesar da Trindade (Convênio Prefeitura Municipal).",True
CA de Palmares Paulista,CATI Regional de Catanduva,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Catanduva,"Endereço: Rua Dr. Hermelindo R. Oliveira, nº 225 - CEP: 15828-000",Município: Palmares Paulista,E-mail:,Telefone: (17) 3587-1307,Responsável: Eng. Agr. Claudio Giusti de Souza,Técnicos:,True
CA de Palmeira d'Oeste,CATI Regional de Jales,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Jales,"Endereço: Rua Brasil, 62-38 - CEP: 15720-000",Município: Palmeira d'Oeste,E-mail: ca.palmeiradoeste@cati.sp.gov.br,Telefone: (17) 3651-1233,Responsável: Eng. Agr. Helena Adélia da Silva Sales,Técnicos: Eng. Agr. Helena Adélia da Silva Sales (CATI); Eng. Agr. Vinícius Fracari de Souza (PM); Mônica Luiza Pedrobon Ferreira (PM); Téc. Agrop. Gabriel Tineli Muniz (ULRIK - CAR),True
CA de Palmital,CATI Regional de Assis,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Assis,"Endereço: Rua João Moreira da Silva, nº 521 - CEP: 19970-000",Município: Palmital,E-mail: ca.palmital@cati.sp.gov.br,Telefone: (18) 3351-1510,Responsável: Eng. Agr. Gilberto Orlandi Neto,Técnicos:,True
CA de Panorama,CATI Regional de Dracena,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Dracena,"Endereço: Rua Rodion Podolsky, 2314 - CEP: 17980-000",Município: Panorama,E-mail: ca.panorama@cati.sp.gov.br,Telefone: (18) 3871-1331,Responsável: Eng. Agr. Luís Alberto Loureiro,Técnicos: Eng. Agr. Luís Alberto Loureiro (Convênio Prefeitura Municipal),True
CA de Paraguaçu Paulista,CATI Regional de Assis,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Assis,"Endereço: Avenida José Jorge Estevam, 195 Barra Funda - CEP: 19700-000",Município: Paraguaçu Paulista,E-mail: ca.paraguacupaulista@cati.sp.gov.br,Telefone: (18) 3361-1623 / 3361-2999.,Responsável: Eng. Agr. Maria Rosangela de Campos,Técnicos:,True
CA de Paraibuna,CATI Regional de Pindamonhangaba,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Pindamonhangaba,"Endereço: Avenida Lincoln Feliciano da Silva, 276 - CEP: 12260-000",Município: Paraibuna,E-mail: ca.paraibuna@cati.sp.gov.br,Telefone: (12) 3974-2120,Responsável: Eng. Agr. Sergio Mitsuo Ishicava,Técnicos:,True
CA de Paraíso,CATI Regional de Catanduva,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Catanduva,"Endereço: Rua São João, nº 493 - CEP: 15825-000",Município: Paraíso,E-mail: ca.paraiso@cati.sp.gov.br,Telefone: (17) 3567-1488,Responsável: Eng. Agr. Claudio Giusti de Souza,Técnicos:,True
